: 0.000535
Epoch 1176, Average Meta Loss: 0.5112, Average AUC: 0.7684, LR: 0.000524
Epoch 1231, Average Meta Loss: 0.4530, Average AUC: 0.8007, LR: 0.000092
Epoch 1232, Average Meta Loss: 0.5306, Average AUC: 0.7304, LR: 0.000088
Epoch 1233, Average Meta Loss: 0.4989, Average AUC: 0.7718, LR: 0.000083
Epoch 1234, Average Meta Loss: 0.4883, Average AUC: 0.7573, LR: 0.000079
Epoch 1235, Average Meta Loss: 0.4540, Average AUC: 0.7589, LR: 0.000075
Epoch 1236, Average Meta Loss: 0.4648, Average AUC: 0.7930, LR: 0.000070
Epoch 1237, Average Meta Loss: 0.4695, Average AUC: 0.7845, LR: 0.000066
Epoch 1238, Average Meta Loss: 0.4423, Average AUC: 0.8004, LR: 0.000063
Epoch 1239, Average Meta Loss: 0.4979, Average AUC: 0.7842, LR: 0.000059
Epoch 1240, Average Meta Loss: 0.4791, Average AUC: 0.7745, LR: 0.000055
Epoch 1241, Average Meta Loss: 0.5067, Average AUC: 0.7792, LR: 0.000052
Epoch 1242, Average Meta Loss: 0.5095, Average AUC: 0.7518, LR: 0.000048
Epoch 1243, Average Meta Loss: 0.5041, Average AUC: 0.7313, LR: 0.000045
Epoch 1244, Average Meta Loss: 0.4832, Average AUC: 0.7552, LR: 0.000042
Epoch 1245, Average Meta Loss: 0.5266, Average AUC: 0.7479, LR: 0.000039
Epoch 1246, Average Meta Loss: 0.5190, Average AUC: 0.7799, LR: 0.000036
Epoch 1247, Average Meta Loss: 0.4416, Average AUC: 0.8125, LR: 0.000033
Epoch 1248, Average Meta Loss: 0.4468, Average AUC: 0.8090, LR: 0.000030
Epoch 1249, Average Meta Loss: 0.4898, Average AUC: 0.7954, LR: 0.000028
Epoch 1250, Average Meta Loss: 0.4389, Average AUC: 0.8739, LR: 0.000025
Epoch 1251, Average Meta Loss: 0.5003, Average AUC: 0.7625, LR: 0.000023
Epoch 1252, Average Meta Loss: 0.5277, Average AUC: 0.7496, LR: 0.000021
Epoch 1253, Average Meta Loss: 0.4725, Average AUC: 0.8168, LR: 0.000018
Epoch 1254, Average Meta Loss: 0.5175, Average AUC: 0.7645, LR: 0.000016
Epoch 1255, Average Meta Loss: 0.4245, Average AUC: 0.8471, LR: 0.000015
Epoch 1256, Average Meta Loss: 0.4353, Average AUC: 0.7854, LR: 0.000013
Epoch 1257, Average Meta Loss: 0.5028, Average AUC: 0.7890, LR: 0.000011
Epoch 1258, Average Meta Loss: 0.4804, Average AUC: 0.7911, LR: 0.000010
Epoch 1259, Average Meta Loss: 0.4750, Average AUC: 0.7718, LR: 0.000008
Epoch 1260, Average Meta Loss: 0.4639, Average AUC: 0.7597, LR: 0.000007
Epoch 1261, Average Meta Loss: 0.5447, Average AUC: 0.7080, LR: 0.000006
Epoch 1262, Average Meta Loss: 0.4841, Average AUC: 0.7628, LR: 0.000005
Epoch 1263, Average Meta Loss: 0.4284, Average AUC: 0.8171, LR: 0.000004
Epoch 1264, Average Meta Loss: 0.4414, Average AUC: 0.8269, LR: 0.000003
Epoch 1265, Average Meta Loss: 0.4595, Average AUC: 0.7987, LR: 0.000003
Epoch 1266, Average Meta Loss: 0.5270, Average AUC: 0.7465, LR: 0.000002
Epoch 1267, Average Meta Loss: 0.5027, Average AUC: 0.7949, LR: 0.000002
Epoch 1268, Average Meta Loss: 0.4938, Average AUC: 0.7605, LR: 0.000001
Epoch 1269, Average Meta Loss: 0.5056, Average AUC: 0.7187, LR: 0.000001
Epoch 1270, Average Meta Loss: 0.5605, Average AUC: 0.7463, LR: 0.010000
Epoch 1271, Average Meta Loss: 0.4943, Average AUC: 0.7649, LR: 0.010000
Epoch 1272, Average Meta Loss: 0.5508, Average AUC: 0.7429, LR: 0.010000
Epoch 1273, Average Meta Loss: 0.4997, Average AUC: 0.7666, LR: 0.010000
Epoch 1274, Average Meta Loss: 0.5249, Average AUC: 0.7760, LR: 0.010000
Epoch 1275, Average Meta Loss: 0.5405, Average AUC: 0.7305, LR: 0.010000
Epoch 1276, Average Meta Loss: 0.4761, Average AUC: 0.7927, LR: 0.009999
Epoch 1277, Average Meta Loss: 0.6028, Average AUC: 0.7030, LR: 0.009999
Epoch 1278, Average Meta Loss: 0.4730, Average AUC: 0.7758, LR: 0.009999
Epoch 1279, Average Meta Loss: 0.5478, Average AUC: 0.7250, LR: 0.009999
Epoch 1280, Average Meta Loss: 0.5392, Average AUC: 0.7600, LR: 0.009998
Epoch 1281, Average Meta Loss: 0.4902, Average AUC: 0.8046, LR: 0.009998
Epoch 1282, Average Meta Loss: 0.4836, Average AUC: 0.8031, LR: 0.009998
Epoch 1283, Average Meta Loss: 0.5473, Average AUC: 0.7349, LR: 0.009997
Epoch 1284, Average Meta Loss: 0.4969, Average AUC: 0.8125, LR: 0.009997
Epoch 1285, Average Meta Loss: 0.5651, Average AUC: 0.7440, LR: 0.009997
Epoch 1286, Average Meta Loss: 0.5166, Average AUC: 0.7733, LR: 0.009996
Epoch 1287, Average Meta Loss: 0.6294, Average AUC: 0.6791, LR: 0.009996
Epoch 1288, Average Meta Loss: 0.5321, Average AUC: 0.7771, LR: 0.009995
Epoch 1289, Average Meta Loss: 0.5810, Average AUC: 0.7339, LR: 0.009995
Epoch 1290, Average Meta Loss: 0.5744, Average AUC: 0.7554, LR: 0.009994
Epoch 1291, Average Meta Loss: 0.5124, Average AUC: 0.7843, LR: 0.009993
Epoch 1292, Average Meta Loss: 0.5902, Average AUC: 0.7015, LR: 0.009993
Epoch 1293, Average Meta Loss: 0.6504, Average AUC: 0.6670, LR: 0.009992
Epoch 1294, Average Meta Loss: 0.4920, Average AUC: 0.7939, LR: 0.009991
Epoch 1295, Average Meta Loss: 0.5184, Average AUC: 0.7788, LR: 0.009991
Epoch 1296, Average Meta Loss: 0.5142, Average AUC: 0.7669, LR: 0.009990
Epoch 1297, Average Meta Loss: 0.5083, Average AUC: 0.7922, LR: 0.009989
Epoch 1298, Average Meta Loss: 0.6410, Average AUC: 0.7112, LR: 0.009988
Epoch 1299, Average Meta Loss: 0.6018, Average AUC: 0.7112, LR: 0.009987
Epoch 1300, Average Meta Loss: 0.6423, Average AUC: 0.6695, LR: 0.009986
Epoch 1301, Average Meta Loss: 0.6159, Average AUC: 0.7001, LR: 0.009986
Epoch 1302, Average Meta Loss: 0.5345, Average AUC: 0.7992, LR: 0.009985
Epoch 1303, Average Meta Loss: 0.5616, Average AUC: 0.7360, LR: 0.009984
Epoch 1304, Average Meta Loss: 0.5355, Average AUC: 0.7532, LR: 0.009983
Epoch 1305, Average Meta Loss: 0.5153, Average AUC: 0.7822, LR: 0.009982
Epoch 1306, Average Meta Loss: 0.6103, Average AUC: 0.7510, LR: 0.009980
Epoch 1307, Average Meta Loss: 0.5758, Average AUC: 0.7177, LR: 0.009979
Epoch 1308, Average Meta Loss: 0.6041, Average AUC: 0.7506, LR: 0.009978
Epoch 1309, Average Meta Loss: 0.6099, Average AUC: 0.7136, LR: 0.009977
Epoch 1310, Average Meta Loss: 0.5545, Average AUC: 0.7239, LR: 0.009976
Epoch 1311, Average Meta Loss: 0.6197, Average AUC: 0.7120, LR: 0.009975
Epoch 1312, Average Meta Loss: 0.5809, Average AUC: 0.7704, LR: 0.009973
Epoch 1313, Average Meta Loss: 0.6157, Average AUC: 0.7191, LR: 0.009972
Epoch 1314, Average Meta Loss: 0.6411, Average AUC: 0.7471, LR: 0.009971
Epoch 1315, Average Meta Loss: 0.5693, Average AUC: 0.7386, LR: 0.009970
Epoch 1316, Average Meta Loss: 0.6730, Average AUC: 0.7314, LR: 0.009968
Epoch 1317, Average Meta Loss: 0.5514, Average AUC: 0.8098, LR: 0.009967
Epoch 1318, Average Meta Loss: 0.5649, Average AUC: 0.7156, LR: 0.009965
Epoch 1319, Average Meta Loss: 0.5554, Average AUC: 0.7352, LR: 0.009964
Epoch 1320, Average Meta Loss: 0.6714, Average AUC: 0.7047, LR: 0.009962
Epoch 1321, Average Meta Loss: 0.7390, Average AUC: 0.6874, LR: 0.009961
Epoch 1322, Average Meta Loss: 0.5977, Average AUC: 0.7495, LR: 0.009959
Epoch 1323, Average Meta Loss: 0.6245, Average AUC: 0.6597, LR: 0.009958
Epoch 1324, Average Meta Loss: 0.5678, Average AUC: 0.7241, LR: 0.009956
Epoch 1325, Average Meta Loss: 0.6495, Average AUC: 0.7316, LR: 0.009955
Epoch 1326, Average Meta Loss: 0.6704, Average AUC: 0.7386, LR: 0.009953
Epoch 1327, Average Meta Loss: 0.7174, Average AUC: 0.6438, LR: 0.009951
Epoch 1328, Average Meta Loss: 0.5328, Average AUC: 0.7375, LR: 0.009949
Epoch 1329, Average Meta Loss: 0.6484, Average AUC: 0.6790, LR: 0.009948
Epoch 1330, Average Meta Loss: 0.6390, Average AUC: 0.7240, LR: 0.009946
Epoch 1331, Average Meta Loss: 0.6015, Average AUC: 0.6818, LR: 0.009944
Epoch 1332, Average Meta Loss: 0.6236, Average AUC: 0.7307, LR: 0.009942
Epoch 1333, Average Meta Loss: 0.6512, Average AUC: 0.6573, LR: 0.009940
Epoch 1334, Average Meta Loss: 0.7137, Average AUC: 0.6852, LR: 0.009938
Epoch 1335, Average Meta Loss: 0.6516, Average AUC: 0.6939, LR: 0.009937
Epoch 1336, Average Meta Loss: 0.7301, Average AUC: 0.6663, LR: 0.009935
Epoch 1337, Average Meta Loss: 0.6121, Average AUC: 0.6800, LR: 0.009933
Epoch 1338, Average Meta Loss: 0.7131, Average AUC: 0.6745, LR: 0.009931
Epoch 1339, Average Meta Loss: 0.6442, Average AUC: 0.7077, LR: 0.009928
Epoch 1340, Average Meta Loss: 0.9099, Average AUC: 0.6044, LR: 0.009926
Epoch 1341, Average Meta Loss: 0.7734, Average AUC: 0.6819, LR: 0.009924
Epoch 1342, Average Meta Loss: 1.0887, Average AUC: 0.7176, LR: 0.009922
Epoch 1343, Average Meta Loss: 0.6195, Average AUC: 0.6753, LR: 0.009920
Epoch 1344, Average Meta Loss: 0.5992, Average AUC: 0.7580, LR: 0.009918
Epoch 1345, Average Meta Loss: 0.7254, Average AUC: 0.6755, LR: 0.009916
Epoch 1346, Average Meta Loss: 0.6174, Average AUC: 0.7438, LR: 0.009913
Epoch 1347, Average Meta Loss: 0.7119, Average AUC: 0.6887, LR: 0.009911
Epoch 1348, Average Meta Loss: 0.7158, Average AUC: 0.6301, LR: 0.009909
Epoch 1349, Average Meta Loss: 0.6403, Average AUC: 0.7026, LR: 0.009906
Epoch 1350, Average Meta Loss: 0.6464, Average AUC: 0.7031, LR: 0.009904
Epoch 1351, Average Meta Loss: 0.6255, Average AUC: 0.7357, LR: 0.009902
Epoch 1352, Average Meta Loss: 0.8067, Average AUC: 0.6924, LR: 0.009899
Epoch 1353, Average Meta Loss: 0.6658, Average AUC: 0.6863, LR: 0.009897
Epoch 1354, Average Meta Loss: 0.6596, Average AUC: 0.7303, LR: 0.009894
Epoch 1355, Average Meta Loss: 0.7703, Average AUC: 0.6634, LR: 0.009892
Epoch 1356, Average Meta Loss: 1.1412, Average AUC: 0.7068, LR: 0.009889
Epoch 1357, Average Meta Loss: 0.6948, Average AUC: 0.6506, LR: 0.009886
Epoch 1358, Average Meta Loss: 0.7645, Average AUC: 0.6596, LR: 0.009884
Epoch 1359, Average Meta Loss: 0.5979, Average AUC: 0.7497, LR: 0.009881
Epoch 1360, Average Meta Loss: 0.6339, Average AUC: 0.6863, LR: 0.009879
Epoch 1361, Average Meta Loss: 0.7112, Average AUC: 0.6841, LR: 0.009876
Epoch 1362, Average Meta Loss: 0.6055, Average AUC: 0.7212, LR: 0.009873
Epoch 1363, Average Meta Loss: 0.6194, Average AUC: 0.7427, LR: 0.009870
Epoch 1364, Average Meta Loss: 0.7262, Average AUC: 0.6677, LR: 0.009868
Epoch 1365, Average Meta Loss: 0.6328, Average AUC: 0.6978, LR: 0.009865
Epoch 1366, Average Meta Loss: 0.6480, Average AUC: 0.7275, LR: 0.009862
Epoch 1367, Average Meta Loss: 0.6971, Average AUC: 0.6316, LR: 0.009859
Epoch 1368, Average Meta Loss: 0.5840, Average AUC: 0.6726, LR: 0.009856
Epoch 1369, Average Meta Loss: 0.6264, Average AUC: 0.7284, LR: 0.009853
Epoch 1370, Average Meta Loss: 0.7015, Average AUC: 0.6841, LR: 0.009850
Epoch 1371, Average Meta Loss: 0.7235, Average AUC: 0.6729, LR: 0.009847
Epoch 1372, Average Meta Loss: 0.6429, Average AUC: 0.7165, LR: 0.009844
Epoch 1373, Average Meta Loss: 0.5655, Average AUC: 0.8076, LR: 0.009841
Epoch 1374, Average Meta Loss: 0.6202, Average AUC: 0.7026, LR: 0.009838
Epoch 1375, Average Meta Loss: 0.6707, Average AUC: 0.7030, LR: 0.009835
Epoch 1376, Average Meta Loss: 0.5956, Average AUC: 0.7386, LR: 0.009832
Epoch 1377, Average Meta Loss: 0.7611, Average AUC: 0.7132, LR: 0.009829
Epoch 1378, Average Meta Loss: 0.5758, Average AUC: 0.7457, LR: 0.009825
Epoch 1379, Average Meta Loss: 0.6684, Average AUC: 0.6971, LR: 0.009822
Epoch 1380, Average Meta Loss: 0.6653, Average AUC: 0.7364, LR: 0.009819
Epoch 1381, Average Meta Loss: 0.7385, Average AUC: 0.6766, LR: 0.009816
Epoch 1382, Average Meta Loss: 0.6399, Average AUC: 0.6834, LR: 0.009812
Epoch 1383, Average Meta Loss: 0.6244, Average AUC: 0.7256, LR: 0.009809
Epoch 1384, Average Meta Loss: 0.6885, Average AUC: 0.7264, LR: 0.009806
Epoch 1385, Average Meta Loss: 0.6794, Average AUC: 0.6653, LR: 0.009802
Epoch 1386, Average Meta Loss: 0.7200, Average AUC: 0.6949, LR: 0.009799
Epoch 1387, Average Meta Loss: 0.6045, Average AUC: 0.7160, LR: 0.009795
Epoch 1388, Average Meta Loss: 0.6405, Average AUC: 0.6963, LR: 0.009792
Epoch 1389, Average Meta Loss: 0.6393, Average AUC: 0.7003, LR: 0.009788
Epoch 1390, Average Meta Loss: 0.6581, Average AUC: 0.6810, LR: 0.009785
Epoch 1391, Average Meta Loss: 0.6086, Average AUC: 0.7174, LR: 0.009781
Epoch 1392, Average Meta Loss: 0.6500, Average AUC: 0.7121, LR: 0.009778
Epoch 1393, Average Meta Loss: 0.6927, Average AUC: 0.6446, LR: 0.009774
Epoch 1394, Average Meta Loss: 0.5882, Average AUC: 0.7325, LR: 0.009770
Epoch 1395, Average Meta Loss: 0.6716, Average AUC: 0.6798, LR: 0.009767
Epoch 1396, Average Meta Loss: 0.5842, Average AUC: 0.7398, LR: 0.009763
Epoch 1397, Average Meta Loss: 0.5982, Average AUC: 0.7288, LR: 0.009759
Epoch 1398, Average Meta Loss: 0.5916, Average AUC: 0.7494, LR: 0.009755
Epoch 1399, Average Meta Loss: 0.6960, Average AUC: 0.6640, LR: 0.009752
Epoch 1400, Average Meta Loss: 0.6093, Average AUC: 0.6954, LR: 0.009748
Epoch 1401, Average Meta Loss: 0.5907, Average AUC: 0.7264, LR: 0.009744
Epoch 1402, Average Meta Loss: 0.6996, Average AUC: 0.6888, LR: 0.009740
Epoch 1403, Average Meta Loss: 0.6219, Average AUC: 0.6831, LR: 0.009736
Epoch 1404, Average Meta Loss: 0.5860, Average AUC: 0.7479, LR: 0.009732
Epoch 1405, Average Meta Loss: 0.6796, Average AUC: 0.6717, LR: 0.009728
Epoch 1406, Average Meta Loss: 0.6276, Average AUC: 0.7031, LR: 0.009724
Epoch 1407, Average Meta Loss: 0.6418, Average AUC: 0.7389, LR: 0.009720
Epoch 1408, Average Meta Loss: 0.5838, Average AUC: 0.7261, LR: 0.009716
Epoch 1409, Average Meta Loss: 0.5356, Average AUC: 0.7391, LR: 0.009712
Epoch 1410, Average Meta Loss: 0.6307, Average AUC: 0.7179, LR: 0.009708
Epoch 1411, Average Meta Loss: 0.6154, Average AUC: 0.7666, LR: 0.009704
Epoch 1412, Average Meta Loss: 0.5440, Average AUC: 0.7546, LR: 0.009699
Epoch 1413, Average Meta Loss: 0.6282, Average AUC: 0.7084, LR: 0.009695
Epoch 1414, Average Meta Loss: 0.5648, Average AUC: 0.7462, LR: 0.009691
Epoch 1415, Average Meta Loss: 0.6038, Average AUC: 0.7167, LR: 0.009687
Epoch 1416, Average Meta Loss: 0.5637, Average AUC: 0.7422, LR: 0.009682
Epoch 1417, Average Meta Loss: 0.6139, Average AUC: 0.7346, LR: 0.009678
Epoch 1418, Average Meta Loss: 0.6399, Average AUC: 0.6191, LR: 0.009674
Epoch 1419, Average Meta Loss: 0.6155, Average AUC: 0.6932, LR: 0.009669
Epoch 1420, Average Meta Loss: 0.6001, Average AUC: 0.7387, LR: 0.009665
Epoch 1421, Average Meta Loss: 0.5946, Average AUC: 0.6764, LR: 0.009661
Epoch 1422, Average Meta Loss: 0.5503, Average AUC: 0.7476, LR: 0.009656
Epoch 1423, Average Meta Loss: 0.6524, Average AUC: 0.6929, LR: 0.009652
Epoch 1424, Average Meta Loss: 0.6249, Average AUC: 0.7677, LR: 0.009647
Epoch 1425, Average Meta Loss: 0.5023, Average AUC: 0.7985, LR: 0.009643
Epoch 1426, Average Meta Loss: 0.5494, Average AUC: 0.7687, LR: 0.009638
Epoch 1427, Average Meta Loss: 0.5422, Average AUC: 0.7596, LR: 0.009633
Epoch 1428, Average Meta Loss: 0.6366, Average AUC: 0.7232, LR: 0.009629
Epoch 1429, Average Meta Loss: 0.5978, Average AUC: 0.7220, LR: 0.009624
Epoch 1430, Average Meta Loss: 0.6339, Average AUC: 0.7308, LR: 0.009619
Epoch 1431, Average Meta Loss: 0.6507, Average AUC: 0.6819, LR: 0.009615
Epoch 1432, Average Meta Loss: 0.6399, Average AUC: 0.6882, LR: 0.009610
Epoch 1433, Average Meta Loss: 0.5495, Average AUC: 0.7326, LR: 0.009605
Epoch 1434, Average Meta Loss: 0.6447, Average AUC: 0.6488, LR: 0.009600
Epoch 1435, Average Meta Loss: 0.6021, Average AUC: 0.7128, LR: 0.009596
Epoch 1436, Average Meta Loss: 0.5461, Average AUC: 0.7875, LR: 0.009591
Epoch 1437, Average Meta Loss: 0.5800, Average AUC: 0.7403, LR: 0.009586
Epoch 1438, Average Meta Loss: 0.5429, Average AUC: 0.7684, LR: 0.009581
Epoch 1439, Average Meta Loss: 0.5826, Average AUC: 0.7245, LR: 0.009576
Epoch 1440, Average Meta Loss: 0.5954, Average AUC: 0.7312, LR: 0.009571
Epoch 1441, Average Meta Loss: 0.5774, Average AUC: 0.6964, LR: 0.009566
Epoch 1442, Average Meta Loss: 0.5596, Average AUC: 0.7129, LR: 0.009561
Epoch 1443, Average Meta Loss: 0.5480, Average AUC: 0.7949, LR: 0.009556
Epoch 1444, Average Meta Loss: 0.6063, Average AUC: 0.7275, LR: 0.009551
Epoch 1445, Average Meta Loss: 0.6697, Average AUC: 0.6393, LR: 0.009546
Epoch 1446, Average Meta Loss: 0.4972, Average AUC: 0.7700, LR: 0.009541
Epoch 1447, Average Meta Loss: 0.6038, Average AUC: 0.7223, LR: 0.009536
Epoch 1448, Average Meta Loss: 0.5419, Average AUC: 0.7758, LR: 0.009530
Epoch 1449, Average Meta Loss: 0.6197, Average AUC: 0.7324, LR: 0.009525
Epoch 1450, Average Meta Loss: 0.5675, Average AUC: 0.7389, LR: 0.009520
Epoch 1451, Average Meta Loss: 0.5644, Average AUC: 0.7633, LR: 0.009515
Epoch 1452, Average Meta Loss: 0.5104, Average AUC: 0.7843, LR: 0.009509
Epoch 1453, Average Meta Loss: 0.5386, Average AUC: 0.7685, LR: 0.009504
Epoch 1454, Average Meta Loss: 0.5172, Average AUC: 0.7764, LR: 0.009499
Epoch 1455, Average Meta Loss: 0.5305, Average AUC: 0.7757, LR: 0.009493
Epoch 1456, Average Meta Loss: 0.5132, Average AUC: 0.7450, LR: 0.009488
Epoch 1457, Average Meta Loss: 0.5094, Average AUC: 0.8141, LR: 0.009483
Epoch 1458, Average Meta Loss: 0.6098, Average AUC: 0.7707, LR: 0.009477
Epoch 1459, Average Meta Loss: 0.5957, Average AUC: 0.7364, LR: 0.009472
Epoch 1460, Average Meta Loss: 0.6647, Average AUC: 0.6877, LR: 0.009466
Epoch 1461, Average Meta Loss: 0.5732, Average AUC: 0.7727, LR: 0.009461
Epoch 1462, Average Meta Loss: 0.6173, Average AUC: 0.7326, LR: 0.009455
Epoch 1463, Average Meta Loss: 0.5776, Average AUC: 0.7590, LR: 0.009450
Epoch 1464, Average Meta Loss: 0.5729, Average AUC: 0.7747, LR: 0.009444
Epoch 1465, Average Meta Loss: 0.6005, Average AUC: 0.7525, LR: 0.009438
Epoch 1466, Average Meta Loss: 0.5473, Average AUC: 0.7439, LR: 0.009433
Epoch 1467, Average Meta Loss: 0.6897, Average AUC: 0.6984, LR: 0.009427
Epoch 1468, Average Meta Loss: 0.6426, Average AUC: 0.6883, LR: 0.009421
Epoch 1469, Average Meta Loss: 0.6403, Average AUC: 0.6581, LR: 0.009415
Epoch 1470, Average Meta Loss: 0.5745, Average AUC: 0.7405, LR: 0.009410
Epoch 1471, Average Meta Loss: 0.5393, Average AUC: 0.7908, LR: 0.009404
Epoch 1472, Average Meta Loss: 0.5638, Average AUC: 0.7777, LR: 0.009398
Epoch 1473, Average Meta Loss: 0.6250, Average AUC: 0.7206, LR: 0.009392
Epoch 1474, Average Meta Loss: 0.6124, Average AUC: 0.7270, LR: 0.009386
Epoch 1475, Average Meta Loss: 0.5659, Average AUC: 0.7564, LR: 0.009380
Epoch 1476, Average Meta Loss: 0.6313, Average AUC: 0.7255, LR: 0.009374
Epoch 1477, Average Meta Loss: 0.5647, Average AUC: 0.7436, LR: 0.009369
Epoch 1478, Average Meta Loss: 0.5280, Average AUC: 0.8137, LR: 0.009363
Epoch 1479, Average Meta Loss: 0.5326, Average AUC: 0.7748, LR: 0.009357
Epoch 1480, Average Meta Loss: 0.5842, Average AUC: 0.7714, LR: 0.009350
Epoch 1481, Average Meta Loss: 0.5062, Average AUC: 0.8022, LR: 0.009344
Epoch 1482, Average Meta Loss: 0.5446, Average AUC: 0.7633, LR: 0.009338
Epoch 1483, Average Meta Loss: 0.6531, Average AUC: 0.7365, LR: 0.009332
Epoch 1484, Average Meta Loss: 0.5738, Average AUC: 0.7436, LR: 0.009326
Epoch 1485, Average Meta Loss: 0.5318, Average AUC: 0.7406, LR: 0.009320
Epoch 1486, Average Meta Loss: 0.6167, Average AUC: 0.7360, LR: 0.009314
Epoch 1487, Average Meta Loss: 0.5646, Average AUC: 0.7310, LR: 0.009308
Epoch 1488, Average Meta Loss: 0.5610, Average AUC: 0.7161, LR: 0.009301
Epoch 1489, Average Meta Loss: 0.5384, Average AUC: 0.7418, LR: 0.009295
Epoch 1490, Average Meta Loss: 0.6720, Average AUC: 0.6756, LR: 0.009289
Epoch 1491, Average Meta Loss: 0.5256, Average AUC: 0.7181, LR: 0.009282
